,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
399,core,https://github.com/opnsense/core,PHP,"BSD 2-Clause ""Simplified"" License",1433,76,0,167,7,15.5,36,307,182,3.1,4881,0.74441,angular
400,linux-xlnx,https://github.com/Xilinx/linux-xlnx,C,Other,786,192,0,5000,10,14.9,9,0,0,0.0,31173,0.74433,angular
401,vue,https://github.com/vuejs/vue,JavaScript,MIT License,177667,91,0,317,7,1.1,33,246,158,1.5,36964,0.74411,angular
408,quasar,https://github.com/quasarframework/quasar,JavaScript,MIT License,17241,64,0,400,6,32.2,164,550,450,2.0,1326,0.74328,angular
413,swagger-ui,https://github.com/swagger-api/swagger-ui,JavaScript,Apache License 2.0,19112,115,0,463,7,8.8,35,414,260,0.9,4143,0.74259,angular
417,google-cloud-go,https://github.com/googleapis/google-cloud-go,Go,Other,2424,81,0,230,5,19.2,88,599,489,5.3,822,0.74179,angular
423,edk2,https://github.com/tianocore/edk2,C,Other,2032,179,0,507,4,26.5,4,332,330,1.3,14276,0.74095,eslint
429,carbon,https://github.com/carbon-design-system/carbon,JavaScript,Apache License 2.0,3830,68,0,322,8,23.4,54,764,495,2.1,747,0.7398899999999999,angular
433,Jackett,https://github.com/Jackett/Jackett,C#,GNU General Public License v2.0,5144,70,0,357,3,48.7,333,1239,1084,2.5,1304,0.73963,angular
435,macports-ports,https://github.com/macports/macports-ports,Tcl,Other,858,225,1,779,2,242.0,2,1128,1034,2.4,2381,0.7395,angular
437,taro,https://github.com/NervJS/taro,JavaScript,MIT License,27878,33,0,320,9,16.4,58,999,644,1.4,2972,0.73931,angular
442,webpack-dev-server,https://github.com/webpack/webpack-dev-server,JavaScript,MIT License,6674,101,0,237,8,1.4,5,274,227,3.5,21086,0.73795,angular
457,karma,https://github.com/karma-runner/karma,JavaScript,MIT License,11394,112,0,365,8,2.2,16,115,91,2.4,8841,0.7361300000000001,angular
465,mesa,https://github.com/mesa3d/mesa,C,,538,279,0,1094,7,253.8,23,3,3,0.7,1247,0.7335699999999999,angular
