,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
114,1368,react-navigation,https://github.com/react-navigation/react-navigation,TypeScript,,19196,48,1,97,7,11.2,635,553,396,2.4,1362,0.67487,angular
115,1329,commitlint,https://github.com/conventional-changelog/commitlint,TypeScript,MIT License,7109,60,0,111,10,7.7,1,266,234,0.5,5332,0.64542,angular
116,1318,amplify-js,https://github.com/aws-amplify/amplify-js,TypeScript,Apache License 2.0,7688,40,0,320,4,13.5,1165,1015,636,2.4,526,0.69057,angular
117,1311,NativeScript,https://github.com/NativeScript/NativeScript,TypeScript,Apache License 2.0,19582,83,0,216,5,4.6,34,316,132,2.8,1346,0.6927800000000001,angular
118,1302,react-native-firebase,https://github.com/invertase/react-native-firebase,JavaScript,Other,8677,48,0,333,9,20.5,2,612,562,2.9,960,0.7097899999999999,angular
119,1289,platform,https://github.com/ngrx/platform,TypeScript,Other,6569,48,0,308,10,5.6,16,174,129,2.1,410,0.67942,angular
123,1289,conventional-changelog,https://github.com/conventional-changelog/conventional-changelog,JavaScript,ISC License,5016,85,0,111,10,1.2,6,80,53,0.8,965,0.6115,angular
124,1258,react-native-paper,https://github.com/callstack/react-native-paper,TypeScript,MIT License,7285,51,0,192,5,6.1,23,379,289,2.5,83,0.6331100000000001,angular
125,1247,billboard.js,https://github.com/naver/billboard.js,TypeScript,MIT License,4528,93,0,162,8,8.9,42,151,124,1.2,76,0.63722,angular
126,1220,python-docs-samples,https://github.com/GoogleCloudPlatform/python-docs-samples,Python,Apache License 2.0,4686,97,0,366,4,26.4,0,453,415,3.1,3366,0.70035,angular
127,1217,jest,https://github.com/facebook/jest,TypeScript,MIT License,33723,86,0,1270,5,13.5,34,750,460,2.2,55397,0.8325600000000001,angular
128,1186,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,JavaScript,MIT License,18827,86,0,419,6,4.8,1,196,145,1.7,1126,0.65325,angular
129,1181,dgraph,https://github.com/dgraph-io/dgraph,Go,Other,14586,65,0,183,3,24.7,43,661,617,0.6,776,0.65749,angular
130,1174,patternfly,https://github.com/patternfly/patternfly,SCSS,,307,39,0,50,3,7.2,161,402,281,1.5,1441,0.61148,angular
131,1168,sweetalert2,https://github.com/sweetalert2/sweetalert2,JavaScript,MIT License,12272,76,0,106,10,5.6,80,93,86,2.4,1330,0.68739,angular
132,1154,edx-platform,https://github.com/edx/edx-platform,Python,GNU Affero General Public License v3.0,5368,111,0,960,3,51.1,253,883,773,3.5,13245,0.82644,angular
133,1135,vue-test-utils,https://github.com/vuejs/vue-test-utils,JavaScript,MIT License,3179,44,0,260,7,3.1,10,73,57,2.4,1866,0.6607,angular
134,1135,google-api-go-client,https://github.com/googleapis/google-api-go-client,Go,Other,2525,114,0,75,4,6.1,21,133,116,0.9,693,0.6148100000000001,angular
135,1108,argo-cd,https://github.com/argoproj/argo-cd,Go,Apache License 2.0,4672,35,0,355,4,17.0,39,892,559,1.9,94,0.65467,angular
136,1100,graphql,https://github.com/nestjs/graphql,TypeScript,MIT License,647,38,0,54,9,12.7,68,204,181,0.9,1676,0.6500100000000001,angular
137,1073,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,MIT License,121870,138,0,2005,9,8.9,0,600,349,1.6,391,0.7119800000000001,angular
138,1031,video.js,https://github.com/videojs/video.js,JavaScript,Other,30355,130,0,439,7,2.0,21,366,243,1.7,1208,0.70985,angular
139,1006,clarity,https://github.com/vmware/clarity,TypeScript,Other,6134,52,0,93,5,9.2,10,1175,1087,1.2,612,0.6388199999999999,angular
140,972,gridsome,https://github.com/gridsome/gridsome,JavaScript,MIT License,7151,30,0,115,7,3.1,100,147,62,1.7,3201,0.6504300000000001,angular
141,969,wowchemy-hugo-modules,https://github.com/wowchemy/wowchemy-hugo-modules,JavaScript,MIT License,5290,57,0,136,9,5.7,3,163,125,2.1,1811,0.65678,angular
142,937,pro-components,https://github.com/ant-design/pro-components,TypeScript,,859,42,0,318,4,20.9,205,1031,930,2.6,78,0.66971,angular
143,908,outline,https://github.com/outline/outline,JavaScript,Other,10501,59,0,51,8,10.3,23,190,140,1.4,3137,0.66737,angular
144,895,graphiql,https://github.com/graphql/graphiql,TypeScript,MIT License,11573,66,0,178,8,6.1,198,78,54,2.4,1405,0.6862,angular
145,879,semantic-release,https://github.com/semantic-release/semantic-release,JavaScript,,11527,77,0,141,12,1.5,25,96,47,2.2,13170,0.71295,angular
146,877,reactstrap,https://github.com/reactstrap/reactstrap,JavaScript,MIT License,9757,59,0,235,7,2.3,12,142,108,1.2,521,0.63185,angular
147,873,ice,https://github.com/alibaba/ice,TypeScript,MIT License,15990,51,0,28,6,14.7,32,437,371,1.3,365,0.6152,angular
148,872,opentelemetry-js,https://github.com/open-telemetry/opentelemetry-js,TypeScript,Apache License 2.0,650,21,0,95,8,10.4,20,301,192,2.3,81,0.6109600000000001,angular
149,860,content,https://github.com/demisto/content,Python,MIT License,506,56,0,198,2,110.0,34,1684,1528,1.5,2604,0.72019,undefined
