,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
32,4170,google-cloud-ruby,https://github.com/googleapis/google-cloud-ruby,Ruby,Apache License 2.0,1037,81,0,130,5,61.9,30,946,735,0.5,1910,0.7056399999999999,angular
33,4167,vant,https://github.com/youzan/vant,JavaScript,MIT License,16386,49,0,171,4,48.8,65,659,644,1.8,374,0.68198,angular
34,4002,X6,https://github.com/antvis/X6,TypeScript,MIT License,991,18,0,25,5,51.9,63,409,363,2.1,1312,0.63557,angular
35,3886,NodeBB,https://github.com/NodeBB/NodeBB,JavaScript,GNU General Public License v3.0,11606,94,0,223,5,42.1,97,524,495,1.2,19745,0.7689600000000001,angular
36,3717,cypress,https://github.com/cypress-io/cypress,JavaScript,MIT License,26276,80,0,247,6,27.6,31,1879,1163,2.3,86977,0.8269299999999999,angular
37,3646,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,JavaScript,MIT License,12681,52,0,315,5,18.2,34,497,440,2.5,849,0.7125,angular
38,3568,material-components-web,https://github.com/material-components/material-components-web,TypeScript,MIT License,15179,82,0,417,3,15.8,5,281,238,1.3,767,0.6544300000000001,angular
39,3524,element3,https://github.com/hug-sun/element3,JavaScript,MIT License,2459,54,0,669,9,24.2,28,343,317,0.8,114,0.69497,angular
40,3448,patternfly-react,https://github.com/patternfly/patternfly-react,TypeScript,MIT License,428,47,0,121,1,19.9,4131,476,316,1.9,558,0.61325,angular
41,3430,vector,https://github.com/haskell/vector,Haskell,Other,280,153,0,78,7,1.8,2,39,22,3.2,7753,0.64613,undefined
43,3411,tinacms,https://github.com/tinacms/tinacms,TypeScript,Apache License 2.0,5305,18,0,64,8,49.7,14,170,118,1.6,733,0.6379100000000001,angular
44,3267,vue-next,https://github.com/vuejs/vue-next,TypeScript,MIT License,19926,31,0,209,11,32.9,55,727,542,1.9,449,0.7129300000000001,angular
45,3192,clouddriver,https://github.com/spinnaker/clouddriver,Groovy,Apache License 2.0,277,108,0,305,5,15.7,35,201,186,1.1,183,0.66565,angular
46,3188,titanium_mobile,https://github.com/appcelerator/titanium_mobile,Objective-C,Other,2499,141,0,326,6,28.3,10,235,196,1.8,8204,0.75289,angular
47,3045,instantsearch.js,https://github.com/algolia/instantsearch.js,TypeScript,MIT License,2579,67,0,90,8,3.3,23,117,81,1.6,1079,0.64665,angular
48,2863,vue-cli,https://github.com/vuejs/vue-cli,JavaScript,MIT License,27082,61,0,421,10,7.9,24,481,348,1.8,14487,0.77915,angular
49,2833,umi,https://github.com/umijs/umi,TypeScript,MIT License,9772,38,0,278,8,12.0,71,642,436,1.5,153,0.6715800000000001,angular
50,2756,G6,https://github.com/antvis/G6,TypeScript,MIT License,7370,47,0,78,9,25.1,25,439,341,2.2,80,0.65282,angular
51,2751,botpress,https://github.com/botpress/botpress,TypeScript,GNU Affero General Public License v3.0,8982,52,0,148,2,24.5,41,465,318,0.7,3657,0.6553899999999999,angular
52,2728,serverless,https://github.com/serverless/serverless,JavaScript,MIT License,38454,70,0,955,12,21.6,64,584,364,2.4,4073,0.8094399999999999,angular
53,2686,nx,https://github.com/nrwl/nx,TypeScript,MIT License,5640,41,0,262,6,22.1,86,920,616,1.9,449,0.69962,angular
54,2637,deno,https://github.com/denoland/deno,TypeScript,MIT License,70942,32,0,545,6,44.9,52,1523,1111,2.1,2173,0.7641899999999999,angular
55,2634,node-mongodb-native,https://github.com/mongodb/node-mongodb-native,JavaScript,Apache License 2.0,8830,134,1,408,7,5.6,17,138,128,0.4,2499,0.67473,angular
56,2597,ionic-native,https://github.com/ionic-team/ionic-native,TypeScript,Other,2038,63,1,664,10,3.6,16,100,52,0.8,1591,0.6752100000000001,angular
57,2572,igraph,https://github.com/igraph/igraph,C,GNU General Public License v2.0,1099,194,0,51,7,7.2,6,153,113,3.9,279,0.63535,angular
58,2482,aks-engine,https://github.com/Azure/aks-engine,Go,MIT License,809,57,0,339,7,16.9,27,313,261,2.4,89,0.68138,angular
59,2438,cli,https://github.com/npm/cli,JavaScript,Other,3929,137,0,727,9,16.9,49,1092,395,1.3,11256,0.81287,undefined
67,2437,google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client,Ruby,Apache License 2.0,2360,127,0,131,8,22.9,8,1472,1454,0.1,1769,0.69242,angular
68,2429,docusaurus,https://github.com/facebook/docusaurus,TypeScript,Other,20967,43,0,506,7,20.1,26,549,455,3.7,700,0.74669,angular
69,2327,ant-design-vue,https://github.com/vueComponent/ant-design-vue,Vue,Other,13376,40,0,127,4,20.0,34,1310,1085,1.3,176,0.64078,angular
70,2302,baseweb,https://github.com/uber/baseweb,JavaScript,Other,5858,34,0,184,4,15.3,110,221,178,2.4,43,0.6096699999999999,angular
71,2290,universal,https://github.com/angular/universal,TypeScript,MIT License,3706,68,0,101,7,5.1,22,133,101,1.5,3832,0.67301,angular
72,2235,design-system,https://github.com/salesforce-ux/design-system,JavaScript,Other,3020,65,0,72,7,7.8,18,21,8,1.2,5109,0.636,angular
73,2229,vite,https://github.com/vitejs/vite,TypeScript,MIT License,14402,9,0,105,7,27.4,43,628,552,1.9,231,0.6341100000000001,angular
